,Unnamed: 0,Unnamed: 0.1,Pr,Issue,Consumer complaint narrative,Company,State,sentimentValue
59933,59933,59933,Debt collection,Cont'd attempts collect debt not owed,I have no knowledge of this debt,Capital One,TX,0.0
59952,59952,59952,Credit card,Customer service / Customer relations,"I tried to pay my bill and was informed that my CC was closed unknown to me due to "" fraudulent activity '', what was really happening is that Capital One was saying the money from payments was on my CC when it was n't taken out of my bank yet and my bank would reject Capital One so it would then be taken back from the card thusly resulting in an overdraft. Either way they "" closed '' my account on the XXXX of XXXX without informing me prior, I called and wanted to know what was going on and they could n't and or would n't tell me anything. I had deposited {$400.00} to start this card and paid off what was owed back down to a balance of {$400.00}. I was told by over 8 different Capital One representatives including supervisors that the remaining {$400.00} would be taken from the deposit and everything would be settled and I would not have to call again, it would {$0.00} out my account and reflect accordingly on my credit. The {$400.00} was supposed to be put on towards the balance 5 business day 's after they closed my account so that would of been the XXXX of XXXX. I spoke to a supervisor on Monday the XXXX who informed me of this thusly and stated "" you will not have to call back it will be taken care of automatically '', I waited until Friday the XXXX to check and make sure it had been done, it had not. I called again and talked to another representative who told me "" it will be done tomorrow and by Monday it will have a {$0.00} balance ''. I waited till Monday the XXXX with no movement yet again on my account. I called the following morning ( Tuesday the XXXX ) their time and was told yet again, be patient it will get done, all while nothing is happening.",Capital One,AK,0.00138888888889
60021,60021,60021,Debt collection,Cont'd attempts collect debt not owed,This debt is from account from $ XX/XX/2008 an account is old and such no longer owed or valid. This has been requested to be removed many times. I want this removed from my account.,Capital One,TX,0.2
60150,60150,60150,Credit card,Credit line increase/decrease,"I rented a car from XXXX and they asked me for a credit card ( Capital One Card ) to place a "" hold '' on until I returned the car. At the time of return, I had been told I could pay in cash but they ( XXXX ) said they would not accept cash so I gave them a different card ( XXXX XXXX ) because the amount was over my limit on the Capitol One card. I advised the merchant not to charge my Capitol One card and the representative agreed. I left the car rental company thinking everything was taking care of until I checked on my Capital One card and it had been charged for the car rental and was well over my limit which I did not agreed to and I did not authorize. I disputed the charges.",Capital One,MT,0.0
60196,60196,60196,Credit card,Billing disputes,"Booked a travel ticket with XXXX XXXX. Immediately canceled the ticket and never travelled with provider. Was never issued a refund. Initiated charged back which was then rebilled. 
",Capital One,NY,0.0
60318,60318,60318,Credit card,Rewards,"I had opened Spark Business Credit Card by Capital One Bank on XXXX/XXXX/16 and had limit of $ XXXX due to excellent credit and done transactions total of {$120000.00} on this credit card. The problem was that our business checking a/c at XXXX XXXX XXXX had ACH Filter to stop ACH transactions which are not part of "" allow '' list to stop fraudulent transactions. 

Hence, the payments we initiated through web portal of Capital One got denied to our checking a/c due to ACH Filter. In order for XXXX XXXX XXXX Bank to add ACH Originators to "" allow list '', they needed originator 's ACH Company ID number. I contacted the customer service of Capital One to get their ACH Company ID number but they were not aware of what this was and why it was required. Due to difficulty we encountered with Capital One, we decide to initiated the payment to our checking a/c held at XXXX XXXX and hopefully we shall finally get that ID from XXXX XXXX when XXXX XXXX rejects that ACH. The payments we initiated through web portal of Capital One got denied to the business checking a/c due to ACH Filter that account. 

Few days later due to unsuccessful attempts to get Capital One 's ACH Company ID, we decided to use our money market a/c with XXXX XXXX that had no ACH Filter and all payments were cleared successfully at every attempt to this money market a/c with XXXX XXXX. 

Also customer service of Capital One did conference call with XXXX XXXX XXXX three times to verify the funds and validity of account. 

Last week on XXXX/XXXX/16, Capital One bank decided to close the account stating fraud fraud suspension and saying the accumulated cash rewards {$2300.00} automatically get forfeited. 100 % of the outstanding amounts was paid in full before due date. 

Capital One bank is not fair by denying to pay us the accumulated cash rewards of {$2300.00} despite they charged merchant fees to vendor whom i purchased the goods from. 

If Capital bank is not willing to reinstall/active my credit card, then in all fairness they should : a. Mail me check of {$2300.00} cash rewards as they earned full fees from the merchants that i purchased goods/services and they got paid by me in full before all the due dates.. b. Ensure that my credit rating is not affected in any manner I must have talked to Capital for 4-5 hours on 7-9 calls ( including XXXX supervisors ) since we encounterd the 1st problem. Also was surprised to come to know during one of the conversation with their supervisor that the XXXX conference calls which we did with XXXX XXXX to verify funds were not on record with Capital One despite they ( Capital One ) made immediate credit available!! 
",Capital One,FL,0.102173913043
60390,60390,60390,Credit card,Late fee,"Capital One applied my {$100.00} XXXX 2016 payment for card ending XXXX to XXXX 2016 thus appearing as though I made XXXX payments for XXXX. This resulted in no payments being applied for XXXX 2016 and a late fee. Upon further inspection I noticed another late fee on both of my cards from the beginning of the year. My employer switched from bi-monthly to bi-weekly pay. I am requesting Capital One to reapply my {$100.00} payment from XXXX to XXXX 2016 as intended. I am requesting all late fees on both cards reversed. I am requesting lower APR 's as both cards currently have excessive rates. I am also requesting paper statements as I have not received any statements and therefore been unable to review my account. 
",Capital One,CA,-0.235714285714
60465,60465,60465,Credit card,Transaction issue,"I was contacted by, Capital One, by telephone, about suspicious activity on my a credit card in XXXX 2016. There were XXXX charges for {$110.00}, at different locations, on XXXX XXXX, 2016. I had destroyed the credit card months earlier as I was planning on cancelling the account after all automatic charges transferred to another Capital One card. The card had not been used online for nearly a year. In XXXX an annual magazine subscription was charged for {$49.00} on XXXX XXXX, 2016, which is valid and I paid for that. Shortly after that, XXXX XXXX, 2016, is when the fraudulent charges of {$110.00}, XXXX times, occurred. I was told by Capital One that I would not be responsible for fraudulent charges. When I telehoned them afterwards, more than a few times, I was told that I would not be responsible for the charges. On XXXX/XXXX/16, I received a notice that I had been reported to XXXX for failure to pay. I have left three phone messages to the fraud agent, XXXX, with no return call. I did receive a letter dated XXXX/XXXX/2016, but received sometime later than that from the fraud department saying that the investigation was resolved. But the fraudulent charges, and now late charges and interest are accumulating on the fraudulent charges. I have a second Capital One credit card that I have been using since I stopped using the credit card that has the fraudulent charges on that I always pay off each month. It appears, to me, that someone got the credit card number from the magazine subscription charge for {$49.00} in XXXX and either sold the number or used it online to make the XXXX purchases for {$110.00}, on the same day, at three different locations. I 've done everything I can, including sending a letter to the fraud department of Capital One. Please help. 
",Capital One,WA,0.0122222222222
60698,60698,60698,Credit card,Closing/Cancelling account,"I had a Capital One/GM card for many years and used it to build up dollar credits to be used when purchasing a new XXXX automobile. I always paid my balance in full at the end of every month. Upon returning from vacation in early 2014, and retrieving my held mail from the post office, there was a Capital One bill in the mail stating I owed XXXX plus a late fee charge of XXXX. I immediately contacted Capital One. After explaining that I had just returned from vacation and found this bill in my mail, the supervisor agreed to waive the XXXX late fee and accept my XXXX as payment in full. I paid immediately thinking all was well with my Capital One account. Some time later I tried to use the card and it was rejected. I called and the representative informed me that my card had been cancelled due to delinquent payment. 
I am now purchasing a new XXXX vehicle and upon trying to use the Capital One/GM credits I had accumulated over the 10 or so years I used this card, I was told the credits are expired and there would be NO WAY of retrieving any benefit from the expired dollar credits. 
It 's my contention that Capital One unfairly cancels customers cards with very little provocation in an effort to extinguish their purchasing dollar credits and thereby saving Capital One or GM large sums of money.",Capital One,MI,0.0244817682318
60709,60709,60709,Credit card,Delinquent account,"I have contacted Capital One credit card three times on this matter. 

This is a dispute with Capital One. I attempted to make my payment on my account. I have never been late. The mobile app somehow did not take the dollar amount I entered, and a partial payment was made. The error happened repeatedly, but eventually showed the full payment and I thought it sent. I had no intention of making a partial payment. The payment was made from my Capital One 360 account, and the remaining funds were in there. I do n't use my 360 account for anything but making this payment, and I transferred money there to do that. 

I called and explained my situation, and the gentleman said he understood and had taken care of my late payments on capital One 's record and it would update with the credit bureaus. Please pull this call recording, or I will request the CFPB pull the recording in an investigation. 

The time and date of the Capital One employee telling me this was taken care of was at XXXX XXXX XXXX PT. 

Additionally, when on the phone for all that time, the representative failed to tell me that the payment was applied to XXXX and XXXX was still not paid. I would have paid the account that day had I known. My mobile app did not indicate this was late when I looked, and now I have two thirty day lates. 

I realize that Capital One must report the actual performance to the credit bureaus. However, based on the minimal control a consumer has if technical errors occur, Capital One should recognize my past behavior, my strive to build my credit and my conversation with them to correct this problem stemming from a technical error.",Capital One,CA,-0.133333333333
60727,60727,60727,Credit card,Billing disputes,"I was approved for a capital one credit card XX/XX/XXXX. As soon as I received the card, I paid a few medical bills off with it and not even 2 days later, Capital One decided to close the card. They were not willing to open the account back up and I 'm unsure as to why the card was even closed. I asked them what my balance was so I could pay the card off since I was not able to use it anymore and they told me I had no balance. I explained that I had used the card for a few of my medical bills and they continued to tell me there was no balance. I waited a few days then called the back to make a payment and they contined to tell me there was no balance that needed to be paid. I did this several times and eventually gave up because they continued to tell me there was no balance. Suddenly XX/XX/XXXX, I received the first statement ever and it was in red stating I was 120 days past due and the card needed to be paid immediately. Of course I called and made the payment in full and asked why I had never received a statement before and why there was no balance the multiple times I tried calling to pay. Also the balance was paid in full then and still on my credit report they are showing a {$2.00} balance as of XXXX/XXXX/XXXX. Why approve me for a credit card if your going to close it 2 days later? Then tell me there is no balance and I know there was and not take my payment. This is tramatically impacting my credit score due to the late payments reporting in XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX. 
",Capital One,LA,-0.0385416666667
60736,60736,60736,Credit card,Other,"Prior to my late payments that were reported to credit bureaus. I called to advise them that I was going to be late on payment XXXX payment. This was to avoid late fees. I always make payments on the XXXX of the month. I thought I was in good terms, because I was enrolled in automatic payments as well. Capital Onedid not call me leave a message or advise me that I had 2 missed payments. Which It was not true. I have been in good terms with Capital One. Now they have refuse to remove negative reporting to credit bureaus, can you please help",Capital One,CA,0.003125
60847,60847,60847,Credit card,Other,"Reported a factual error to XXXX, XXXX and XXXX credit bureaus. 
Capital One Bank USA NA XXXX XXXX XXXX XXXX XXXX XXXX UT. XXXX They filed a hard inquiry without my consent or request for credit from them or any of their affiliates. This was a fraudulent attempt to access my credit records. As well as fraud from the credit requestor and reported as such. 
",Capital One,CA,-0.145833333333
60875,60875,60875,Credit card,Billing disputes,"I called on XXXX transaction on authorized transaction in my account and they disputed them but about three days later decide to close my account without notifying me although I know that credit card if you have to notify mebut what I do know is that a credit card company can not restrict or close your account for disputing transactionsI calledrestrict the account because I reported fraud and disputed transactions now they do n't even let me pay what 's left I tried to pay the bill and every time I try to come back saying that I 'm not eligible payments so the count is still staying the same interest fee they do not pay any fees and have XXXX credit cards and the same for the other ones the same 
",Capital One,CA,-0.0178571428571
60966,60966,60966,Credit card,Delinquent account,"Capital One/XXXX is reporting to XXXX that I had a 120 + late payment back in XXXX 2009 which is false that account was always paid ontime. Recently after disputing the information with XXXX Capital OneXXXX updated that the account had a positive revolving history to XXXX and XXXX but not to XXXX. This is negatively affecting my credit. 
",Capital One,VA,-0.128787878788
60967,60967,60967,Credit card,Delinquent account,"I have had capital one now for a couple yes and I really like them, but when you run into tough times they do not help you at all. I was in school and working at the time I acquired my capital one credit cards. I lost my job and had to start paying back my student loans, and so my credit card bill went past 120 days cause I just could n't get the money to pay anything. I finally payed both my cards off I full and they told me my account was restricted and they could unrestrict it for me but I had to wait a couple days, ok fine. I fell into harder times this time around and they went again another 120 days past due, but I thank God I found a stable good job and I made my minimum payments to keep my account from going into collectionsome, so I two days ago payed them both completely off and now they are telling me my account is restricted and they ca n't do anything about it and I will have to reapply again. 1. That does not make any sense because why would I really want to read run my credit again and if I do n't get accepted and then what and it hits my score. 2. Why would they even restrict my account without notice and without my consent, I am still paying my money to them, and I do want to stay with capital one, but I called and they told me there is nothing they can do on reopening my accounts because they went pass due. I just do n't understand why they do this to you and make it harder on me now and I payed it in full hoping I can reopen my account. This is crazy, time consuming, and stressful. 
",Capital One,NJ,0.0487654320988
61020,61020,61020,Credit card,Other,"On XXXX XXXX 2016 I called Capital Once Banking customer service to receive information about getting a payment I make expedited. Before even doing so I informed the representative of this being for emergency reasons. He told me of my options and that if I pay the full last statement balance of {$140.00} I would be able to call in the following day to them and they can verify with my bank that I have sufficient funds, in which I had more than substantial to cover the payment. I did this the following morning, XXXX XXXX, 2016, approximately XXXX, entered my personal information, and the new representative verified I have more than substantial funds. He then proceeded, put me on hold, and came back to inform me that they in fact could no expedite "" my '' funds, despite the verification. I had met the needed requirement, but they had not only misinformed me, but demonstrated a motive I am unaware of. As I paid a large amount of my credit card, that I did not have to, I could have paid my regular $ XXXX monthly payment. I find this unfair practice to perhaps have an ulterior motive that should be investigated. I am not only significantly affected by this, but have taken financial action I did not need to, as I could have saved myself roughly {$120.00}. Upon expressing my frustration and what I believe is wrong about this matter I was told their is nothing that can be done and was transferred to, I believe, a Senior manager. She informed me the same thing and upon seeing what she could do and further wasting time, told me their is nothing that can be done, however, she said she can credit my card only {$50.00}, which does still not resolve this issue. Despite her efforts to assist, I was informed by this same representative that funds can not be expedited, in the first place, on secured cards. Now I am unsure how the previous XXXX representatives were not aware of this as they should be subject to know the rules and policies of the company they represent. As such mislead and misinformed activity can be avoided. However, I find this as a motive on their end, in which I have paid of more on my credit card than I was subject to. I will be closing this card with them as soon as possible. And I ask that this be investigated and resolved in light of the significant affect is has on me. Thank you.",Capital One,CA,0.0576569264069
61053,61053,61053,Credit card,Delinquent account,"I became delinquent on my account while I was in XXXX for XXXX treatment. Because of my condition I had a very hard time keeping my bills straight. During my 5 months of XXXX my father and grandfather died. I was under so much stress and fighting for my life. Once I discovered my account was delinquent I contacted Capital One and paid my account IN FULL. I spoke with them about what had happened. They agreed to not report my late payments. They closed my account and opened a new one. However, they have NEVER stopped reporting the negative account even after the assured me they would stop. In fact, for months they were reporting XXXX accounts - both negative! For over a year I have been sending them letters and they refuse to address the phone conversations I had with their employees. 
",Capital One,CA,-0.0630892255892
61094,61094,61094,Debt collection,Communication tactics,"I got a phone call a week ago from number ( XXXXMO, USA which was Kohls asking me to pay for my debt that I owed to them, which is {$200.00}. I told them at the time that I could not afford to pay the bill. They asked me if I could make payments, and I told them no. ( side note I am currently waiting for my tax return and that was to exactly 1 week ago today. ) This past weekend I started to receive repetitive from phone calls from ( XXXX ) XXXX starting on Saturday. ( Sidenote : this is not the XXXX time I have gotten my multiple phone calls in XXXX day from a unknown number ; please see attached images of my phone log. ) I received XXXX phone calls on Saturday from XXXX XXXX to XXXX XXXX. I received XXXX on Sunday from the hours of XXXX XXXX to XXXX XXXX. Today Monday, XXXX XXXX I received XXXX phone calls between the hours of XXXX XXXX and XXXX XXXX. I have already told them in the month of XXXX that I am unable to make a payment to them, yet I still have been receiving phone calls from them. I understand that I 'm not answering my phone but I work XXXX so I m not going to stress myself or talk on the phone at work. Every phone call that goes to voicemail is just dead air it is really getting on my nerves. 

Over the past month from XXXX XXXX to today I have received a total of XXXX phone calls from XXXX different numbers. The other number is XXXX XXXX XXXX XXXX. 

It is unbelievable how many times they have called in less than a month. XXXX was just as bad in XXXX. XXXX phone calls. I never answered their phone call. I ca n't make them any sort of promises right now. But the phone calls from them came from numbers XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX. They stopped calling on XXXX XXXX. 
",Capital One,MO,-0.0818922305764
61112,61112,61112,Bank account or service,Using a debit or ATM card,"My bank is Capital One in XXXX XXXX, LA. I payed a merchant with my debit card. They ran it through as a credit card, but accidentally rang up the wrong amount. They immediately realized this, voided the charge, and ran up the correct amount. This was on XXXX XXXX. It is now XXXX XXXX and the original incorrect charge still shows in my account as pending. Because of this, that money is locked up. I have called the merchant and they say their system show the charge as voided. I called the bank, and they originally told me it would take XXXX to 3 business days. When it did not clear by then, I called again and they told me XXXX to 5 business days. They have nearly {$500.00} of my money locked up. I would like access to it. 
",Capital One,LA,0.06
61164,61164,61164,Debt collection,Cont'd attempts collect debt not owed,"I mailed a certified letter to Capital One on XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX asking them to provide me with proof that they provided the Credit Agencies that this account was not lost/stolen and charges were from Identity theft and they have failed to do so. They keep sending the following letter ( attached ) 
",Capital One,GA,-0.25
61290,61290,61290,Credit card,Customer service / Customer relations,"CapitalOne has repeatedly refused to allow my card from 2005 to remain open, its since gone inactive after I REPEATEDLY requested they send me my card. They asked for proof of address along with ID. I HAVE SENT IN ALL. THEY WILL NOT HELP AT ALL 
",Capital One,TX,0.0
61332,61332,61332,Bank account or service,Deposits and withdrawals,"I am the Payee Upon Death on my aunt 's account. I called Capital One Bank for the procedure to have funds disbursed. I was told to go into the branch to retrieve funds. I explained that I live in XXXX and was told that I had to send her original death certificate and a Letter of Instruction to the branch where the account was opened, which I was told was the branch located at XXXX XXXX XXXX, XXXX XXXX XXXX XXXX I sent the requested documents via Priority Mail on XXXX/XXXX/XX/XX/2015 to that location. Since I was told that the funds should be disbursed about a week after the bank received the documents, I called the XXXX XXXX branch on XXXX/XXXX/XX/XX/2015 to verify if the documents were received, and when would the funds be disbursed. I was told that the XXXX XXXX branch was not the origination branch, and the origination branch was located at XXXX XXXX XXXX, XXXX, XXXX and that the XXXX XXXX branch had forwarded the documents to the XXXX branch. I asked when and was told that they just sent the documents, and did not make a record of when the documents were sent. I then called the XXXX branch to see if they had received the documents and was told they had not received the package. It appears that my original documents are nowhere to be found, and no one has a record of receiving my documents. I took me about XXXX weeks just to get the procedure, and now it is taking extra time to try to figure out what happened. What I am requesting is that the funds, which are mine, are disbursed to me. Thank you for your assistance. 
",Capital One,FL,0.221590909091
61340,61340,61340,Bank account or service,"Account opening, closing, or management","Hello, I use to have an account with Capital One and XXXX ( also Capital One ), the bank cancelled my account without explanation and few month 's later XXXX canceled my account, again there was no explanation. I was a good costumer at the Bank and doing small but growing investment with XXXX XXXX. 
Best regards, XXXX XXXX 
",Capital One,MD,0.25
61365,61365,61365,Credit card,Other,"Saks Credit Card Service will not issue a refund check even though I have a credit balance on my account. 

On XXXX XXXX, 2015, I called Credit Customer Service to request a refund check. On XXXX XXXX, 2015, I emailed Credit Customer Service to request a refund check. On XXXX XXXX, 2015, I sent a letter to Credit Customer Service via US postal service. 

I have made multiple calls to Credit Customer Service to inquire on the status of my check. Last week, I spoke to a Credit Customer Service Supervisor named XXXX who took my information and promised to call me back within 24 hours. He did not ever call me back. 

On XXXX XXXX, 2015 I emailed XXXX Customer Service about my refund check. I was told I would be getting a personal response within 24 hours and still have not heard back. 

I have not received my refund check which I requested 17 days ago. By law, I should have received it within seven business days of my initial request. 

XXXX. If you have a credit balance on your account, you can keep it or write your issuer for a refund if the amount is more than one dollar. Your card issuer must send you a refund within seven business days of getting your request. If you do n't ask for a refund and you do n't make any other purchases for more than six months, the issuer must make a good faith effort to send you a refund. 
",Capital One,NJ,0.143181818182
61382,61382,61382,Debt collection,False statements or representation,"XXXX XXXX XXXX, XXXX has purchased a pool of charged off accounts at pennies on the dollar and are a Third party debt collectors and racketeers, and have violated my due process rights by proceeding with collection activity without validating the debt. 
Documents proffered by XXXX XXXX XXXX, XXXX are insufficient to validate the alleged debt. Capital one and by and through XXXX XXXX have worked to committed fraud by preparing and submitting false documents to this court with the intention that this court and I rely on the false documents to the detriment of me. 

They are doing this to many others as well have made billions doing so in the worst of economics. 

Their whole case is based on the inability of people to afford and/or be given the right to an attorney to defend such law suits. They also base their cases on defendants going into default and/or not filing answers and/or inability to understand their rights as well as such proceedings. 

They also filed this lawsuit during the holidays XX/XX/XXXX-XX/XX/XXXX with the same intent their tactics are that defendants do n't know how to and/or can not respond in time. 
I filed answer to the complaint and a response to their request for admissions to the best of my abilities. And at the same time I responded to admissions I requested production of documents, admissions, and/or interrogatories. 

Their response was they did not receive it and/or the same tactics as to file a motion with no time to respond a few days prior to the current court date of XXXX XXXX 2015. 
Capital One Bank on the false documents has severely damaged my ability to support myself and my credit ratings and/or obtain money and/or property and/or to consolidate my debt. And now are helping these racketeers to committed fraud by preparing and submitting a known false document to this court with the intention that I rely on the false document to deprive me of my rights. 

XXXX XXXX XXXX XXXX XXXX, which is an affiliate of XXXX XXXX XXXX. They are a debt buyer typically of defaulted credit card accounts, purchasing them for pennies on the dollar in order to collect on them. They have been known to sue consumers to collect on these purchased debts and allegedly coerced debtors to pay using illegal tactics violating the Federal Debt Collection Practices Act ( FDCPA ). 
The fantasy that the debt-buyer system is keeping the cost of credit down evaporatedwhen the bank decided to sell off the debt at a fraction of its face value. 
Assume the following scenario which, for the sake of simplicity of illus-tration, will use simple, rather than compound interest : on XXXX XXXX, a consumer owes {$1000.00} on her credit card, all of which is principal and does not include any interest, late fees or other fees. She fails to pay her credit card bill, and never makes another payment. What happens? On XXXX XXXX, she will receive a bill for the {$1000.00}, plus 29.99 % interest based on the annual percent-age rate, plus a late fee for {$39.00}. She will continue to receive these charges for the next 5 months ( for a total of 6 months, or 180 days until the creditor will "" charge off '' the account for tax purposes ). By this time, the bill will be approx-imately {$1300.00}, or almost 40 % higher than it was on the day that she defaulted. This {$1000.00} loan, which now includes an extra {$400.00} tacked on since the day the consumer stopped paying, will be sold for {$56.00} ( assuming a sales price of 4 cents on the dollar ), and the consumer will then be sued by a debt buyer for {$1400.00}, plus attorneys ' fees of 15 %, or {$210.00}. ( This assumes they will not also be seeking prejudgment interest of 29.99 % ). For the consumer, the price of de-faulting has suddenly become 161 % of the principal of the amount loaned. For the debt buyer who invested {$56.00}, the potential return on investment is 2,800 % ; {$56.00} invested and {$1600.00} returnedPlease let me know if you needed anything. 
",Capital One,NJ,-0.113756613757
61433,61433,61433,Credit card,Identity theft / Fraud / Embezzlement,"I had a Capital One credit card, ending in XXXX, with an expiration date of XX/XX/XXXX, show up on my credit report as being delinquent due to a purchase at XXXX XXXX on XX/XX/XXXX for around {$25.00}, total due showing as {$89.00} due to late fees and interest charges. 

After seeing this information on my credit report, and that it had dropped by credit score by nearly XXXX points, I contacted Capital One to discuss the matter. I told them that I had not used the card in close to 8 years and that the card had expired on XX/XX/XXXX. They were also able to confirm this. I also had never renewed the card when it expired on XX/XX/XXXX. Certainly the account would have been automatically closed within nearly a 4 year timespan of the card expiring as well. 

Not only did I not make any purchases with the Capital One card for nearly 8 years, on the date of the transaction, I was in the hospital with my with my wife and XXXX daughter who was born at XXXX on XX/XX/XXXX. Capital One advised me that it was an actual credit card swipe on location at a XXXX XXXX store. While I can imagine a credit card purchase being done online using an expired credit card, the expiration date is coded into the magnetic strip which would not process at any modern POS credit card processor. 

I was prompted to look at my credit report due to the fact that I was denied a credit card that I had recently applied for. This never happens as I have an excellent credit score. This is when I noticed that Capital One was reporting this card as delinquent. 

Capital One should never have authorized any transaction on an expired account/credit card. Not only did they allow the transaction to process, but it was done so fraudulently. As a result, they reported inaccurate information to the credit bureaus which has directly affected my ability to obtain credit. 

Capital One did not directly address the issue of why the transaction was allowed to occur, but they did state that they will send me out a fraud application to fill out and I will receive notice of their pending investigation. 

I believe that the fraud application is a moot issue due to the fact that the credit card transaction should not have been allowed to occur in the first place, however, I will fill it out and return it per their instructions. 

The credit card I was denied because of the derogatory remark from Capital One was having a promotion that if you signed up for the card, you would get {$100.00} credit on the issuer 's website. I am seeking {$100.00} in compensation. 
",Capital One,CT,0.0676948051948
61440,61440,61440,Credit card,Other,"Capital One bank is sending credit card solicitations addressed to my father - who died more than 30 years ago. I called Capital One to ask where they were getting information. The person I spoke to did n't really have an answer. Sending credit card solicitations to a dead person sounds a ) shady, and b ) an open invitation to fraud ( both against my father 's good name and against the company ). How is Capital One getting information on my father? I 'd like this to stop, both for my father 's sake and for others, if they 're also getting these solicitations. Thank you. 
",Capital One,VA,0.158333333333
61522,61522,61522,Credit card,Closing/Cancelling account,"My corporation dissolved in XXXX of 2013. I had XXXX credit cards that were issued to my corporation - I never signed personal guarantees. After I lost my business, I began receiving bills and collection notices for these XXXX revolving accounts. I asked these creditors to provide proof of my personal responsibility, and not as an XXXX corporation. After many months and years of correspondence, they still have not provided proof. I had my attorney correspond and we still received no evidence of my personal responsibility. I am a veteran and these old collection accounts are affecting my credit which is keeping me from lowering my interest rate with my XXXX. 
",Capital One,OR,0.1
61588,61588,61588,Credit card,Other fee,"I signed up for the Capital One Quicksilver card via this link : XXXX As you can see, it specifically advertises that there is no annual fee. A month after my enrollment, I noticed a {$39.00} membership fee charged to the account. I have called and emailed several times, presenting evidence of the original offer, but they reply with automated messages, ignoring the substance of the issue. 
",Capital One,CA,0.1875
61653,61653,61653,Debt collection,Communication tactics,"They keep calling me at work and I have asked on 3 different occasions for them to stop. I can not receive personal calls at work. They called the receptionist at my job and asked what did I do for my job and if I still worked at my job. After that, they started calling me directly at work. 
",Capital One,CA,0.0333333333333
61672,61672,61672,Bank account or service,Deposits and withdrawals,"I entered the Capital One Branch located at XXXX XXXX XXXX XXXX TX, XXXX XXXX XXXX. The teller XXXX XXXX was very rude and had a delayed response in assisting me to cash a {$16.00}. Ccheck from the XXXX. The brach was not busy as a matter of fact I placed my Driver 's License and Debit Card on the counter. It took the teller over XXXX seconds to finish drawing cats on her notepad before she preceeded to assist me. I advised her I wanted to cash my check. XXXX XXXX the teller stated where another teller and customer directly next to me could hear since you only have {$12.00} in you account you can only deposit the check. I advised the teller since she just violated my privacy rights by stating my available balance I want you full name, agent id # and I want to speak withyour manager so I can file a complaint with corporate. XXXX preceeded to state she did not have an agent id but isnt her last name on her card. I advised her since she wanted to be coy I woukd add ththat to my complaint also. Another teller assisted in getting the manager XXXX XXXX. XXXX was not aplogetic for her agent 's actions and stated im sure noone heard XXXX when she disclosed your balance. I advised XXXX other customers did hear her. XXXX offered for me to go into her office and I declined. I stated I would take my concerns with corporate since she did not resolve the mmatter. XXXX continued to argue and elevate her voice stating XXXX is going through a tough time. I stated I am also but you should never carry your personal problems to work. XXXX began to cry and thet advised her to go to the break room I said XXXX should cry because never would I treat a customer the way she treated me. I advised XXXX I have XXXX accounts with Capital One, an auto loan, credit card and checking account and never have I ever been treated with such disrespect. Another teller finished my transaction and my check was finally cashed. I am at the point that I want to pay off my credit card balance and close my credit card with Capital One because I know if I was not a young XXXX Woman XXXX XXXX would not have disclosed a white woman 's checking account balance. I was humilated and will never forget the belittling experience. 
",Capital One,TX,-0.0176944444444
61680,61680,61680,Credit card,Customer service / Customer relations,"XXXX XXXX. XXXX was informed of suspected fraud re my Capital One XXXX ( Visa Signature ) card. When fraud was confirmed, my card was deactivated and I was told its replacement was being sent "" XXXX-Day Priority ( USPS ). 
XXXX XXXX. still no card even tho ' UISPS tracking site said "" delivered '' ( to the wrong end XXXX! ). 
XXXX XXXX, no card. I called Cap. One and info 'd them re USPS "" delivered ''. Their representative assured me it WOULD arrive "" tomorrow or Friday at the latest ''. 
XXXX XXXX, no card. I spoke w/ a supervisor who was befuddled and connected me w/ his superior. She said the card was lost, they had canceled it and that they would send me ANOTHER ( XXXX ) card via USPS XXXX-Day Priority. 
IF I get the card this time, it will have been at least eleven days. 
Already some of my credit card auto-pay companies have been denied payment and my previously "" excellent '' credit rating is in decline ( a VERY big issue since even XXXX ca n't get credit reports corrected and numbers restored ). Additionally, I can not do business online and I must carry large sums of cash to cover the daily expenses that had been covered by my Cap.One card. 
"" What 's in YOUR wallet? '' the ads ask ; "" NOTHING! '' is my reply. 
",Capital One,MT,0.209920634921
